birth_type,time,n_risk,n_event,n_censor,p_surv,ci95_lower,ci95_upper
Born in Captivity,0,2115,73,0,0.9654846335697399,0.9577360336433164,0.9732959238395469
Born in Captivity,5,1656,304,82,0.8202170005153183,0.8039326793962321,0.8368311740226774
Born in Captivity,10,1304,230,122,0.701195707746305,0.6814638251163851,0.721498929863034
Born in Captivity,15,981,266,57,0.5550367801503061,0.5332126876187877,0.5777541203968242
Born in Captivity,20,740,209,32,0.43491694652438456,0.4128568259065943,0.45815580245944326
Born in Captivity,25,556,126,58,0.35877174377079046,0.33719713179111876,0.38172674673896484
Born in Captivity,40,120,106,330,0.27946327175862856,0.25821460689500175,0.30246050446632905
Wild Born,0,132,0,0,1,1,1
Wild Born,5,130,2,0,0.9848484848484849,0.9642285516956575,1
Wild Born,10,114,16,0,0.8636363636363636,0.8070333819889208,0.9242093143122062
Wild Born,15,97,17,0,0.734848484848485,0.6632761206746751,0.8141440327066672
Wild Born,20,68,29,0,0.5151515151515155,0.4365756073517105,0.6078697002169154
Wild Born,25,44,24,0,0.3333333333333336,0.2618804498102689,0.42428180947302757
Wild Born,40,9,29,6,0.09594760955922492,0.05452375419442531,0.16884280835289056
